Name,Team,Role,International Span,Age,Batting Style,Bowling Style
Marco Jansen,South Africa,Bowling Allrounder, 2021 - 2023,22y 290d,Right hand Bat,Left arm Fast
Heinrich Klaasen,South Africa,Wicketkeeper Batter, 2018 - 2023,31y 200d,Right hand Bat,Right arm Offbreak
Sisanda Magala,South Africa,Bowler, 2021 - 2023,32y 39d,Right hand Bat,Right arm Fast medium
Keshav Maharaj,South Africa,Bowler, 2016 - 2023,33y 8d,Right hand Bat,Slow Left arm Orthodox
Janneman Malan,South Africa,Top order Batter, 2019 - 2022,26y 303d,Right hand Bat,Legbreak
Aiden Markram,South Africa,Opening Batter, 2017 - 2023,28y 134d,Right hand Bat,Right arm Offbreak
David Miller,South Africa,Middle order Batter, 2010 - 2023,33y 250d,Left hand Bat,Right arm Offbreak
Lungi Ngidi,South Africa,Bowler, 2017 - 2023,26y 323d,Right hand Bat,Right arm Fast medium
Anrich Nortje,South Africa,Bowler, 2019 - 2023,29y 91d,Right hand Bat,Right arm Fast
Wayne Parnell,South Africa,Bowler, 2009 - 2023,33y 200d,Left hand Bat,Left arm Medium fast
Andile Phehlukwayo,South Africa,Bowling Allrounder, 2016 - 2022,26y 349d,Left hand Bat,Right arm Medium fast
Dwaine Pretorius,South Africa,Bowling Allrounder, 2016 - 2022,33y 323d,Right hand Bat,Right arm Medium fast
Kagiso Rabada,South Africa,Bowler, 2014 - 2023,27y 266d,Left hand Bat,Right arm Fast
Tabraiz Shamsi,South Africa,Bowler, 2016 - 2023,32y 362d,Right hand Bat,Left arm Wrist spin
Rassie van der Dussen,South Africa,Top order Batter, 2018 - 2023,34y 8d,Right hand Bat,Legbreak
Kyle Verreynne,South Africa,Wicketkeeper Batter, 2020 - 2023,25y 279d,Right hand Bat,Right arm Offbreak
Charith Asalanka,Sri Lanka,Batting Allrounder, 2021 - 2023,25y 231d,Left hand Bat,Right arm Offbreak
Ashen Bandara,Sri Lanka,Middle order Batter, 2021 - 2023,24y 84d,Right hand Bat,Legbreak
Dushmantha Chameera,Sri Lanka,Bowler, 2015 - 2022,31y 35d,Right hand Bat,Right arm Fast
Dinesh Chandimal,Sri Lanka,Wicketkeeper Batter, 2010 - 2022,33y 89d,Right hand Bat,Right arm Offbreak
Dhananjaya de Silva,Sri Lanka,Allrounder, 2015 - 2023,31y 162d,Right hand Bat,Right arm Offbreak
Wanindu Hasaranga de Silva,Sri Lanka,Allrounder, 2017 - 2023,25y 201d,Right hand Bat,Legbreak
Niroshan Dickwella,Sri Lanka,Wicketkeeper Batter, 2014 - 2022,29y 237d,Left hand Bat,
Asitha Fernando,Sri Lanka,Bowler, 2017 - 2022,25y 199d,Right hand Bat,Right arm Medium fast
Nuwanidu Fernando,Sri Lanka,Batter, 2023 - 2023,23y 125d,Right hand Bat,Right arm Offbreak
Avishka Fernando,Sri Lanka,Opening Batter, 2016 - 2023,24y 316d,Right hand Bat,Right arm Medium fast
Danushka Gunathilaka,Sri Lanka,Allrounder, 2015 - 2022,31y 335d,Left hand Bat,Right arm Offbreak
Chamika Karunaratne,Sri Lanka,Bowling Allrounder, 2019 - 2023,26y 262d,Right hand Bat,Right arm Medium fast
Lahiru Kumara,Sri Lanka,Bowler, 2016 - 2023,26y 2d,Left hand Bat,Right arm Fast
Dhananjaya Lakshan,Sri Lanka,Batting Allrounder, 2021 - 2022,24y 133d,Left hand Bat,Right arm Medium fast
Dilshan Madushanka,Sri Lanka,Bowler, 2022 - 2023,22y 150d,Right hand Bat,Left arm Medium fast
Kusal Mendis,Sri Lanka,Wicketkeeper Batter, 2015 - 2023,28y 13d,Right hand Bat,Legbreak
Pathum Nissanka,Sri Lanka,Top order Batter, 2021 - 2023,24y 273d,Right hand Bat,
Pramod Madushan,Sri Lanka,Bowler, 2022 - 2022,29y 63d,Right hand Bat,Right arm Medium fast
Kasun Rajitha,Sri Lanka,Bowler, 2016 - 2023,29y 259d,Right hand Bat,Right arm Medium fast
Dasun Shanaka,Sri Lanka,Allrounder, 2015 - 2023,31y 159d,Right hand Bat,Right arm Medium
Maheesh Theekshana,Sri Lanka,Bowler, 2021 - 2023,22y 198d,Right hand Bat,Right arm Offbreak
Jeffrey Vandersay,Sri Lanka,Bowler, 2015 - 2023,33y 10d,Right hand Bat,Legbreak
Dunith Wellalage,Sri Lanka,Bowler, 2022 - 2023,20y 37d,Left hand Bat,Slow Left arm Orthodox
Jermaine Blackwood,West Indies,Middle order Batter, 2014 - 2023,31y 87d,Right hand Bat,Right arm Offbreak
Nkrumah Bonner,West Indies,Middle order Batter, 2011 - 2022,34y 23d,Right hand Bat,Legbreak
Shamarh Brooks,West Indies,Top order Batter, 2019 - 2022,34y 137d,Right hand Bat,Legbreak
Yannic Cariah,West Indies,Bowler, 2022 - 2022,30y 238d,Left hand Bat,Legbreak
Keacy Carty,West Indies,Batter, 2022 - 2022,25y 333d,Right hand Bat,Right arm Medium
Jason Holder,West Indies,Bowling Allrounder, 2013 - 2023,31y 102d,Right hand Bat,Right arm Medium fast
Shai Hope,West Indies,Wicketkeeper Batter, 2015 - 2022,29y 97d,Right hand Bat,
Akeal Hosein,West Indies,Bowler, 2021 - 2022,29y 296d,Left hand Bat,Slow Left arm Orthodox
Alzarri Joseph,West Indies,Bowler, 2016 - 2023,26y 87d,Right hand Bat,Right arm Fast
Brandon King,West Indies,Top order Batter, 2019 - 2022,28y 61d,Right hand Bat,
Shermon Lewis,West Indies,Bowler, 2018 - 2022,27y 117d,Right hand Bat,Right arm Fast
Kyle Mayers,West Indies,Batting Allrounder, 2020 - 2023,30y 160d,Left hand Bat,Right arm Medium
Gudakesh Motie,West Indies,Bowler, 2021 - 2023,27y 323d,Left hand Bat,Slow Left arm Orthodox
Keemo Paul,West Indies,Allrounder, 2018 - 2022,24y 359d,Right hand Bat,Right arm Fast medium
Anderson Phillip,West Indies,Bowler, 2021 - 2022,26y 177d,Right hand Bat,Right arm Fast medium
Nicholas Pooran,West Indies,Wicketkeeper Batter, 2016 - 2022,27y 136d,Left hand Bat,Right arm Offbreak
Rovman Powell,West Indies,Middle order Batter, 2016 - 2022,29y 207d,Right hand Bat,Right arm Medium fast
Jayden Seales,West Indies,Bowler, 2021 - 2022,21y 158d,Left hand Bat,Right arm Fast medium
Romario Shepherd,West Indies,Bowling Allrounder, 2019 - 2022,28y 81d,Right hand Bat,Right arm Fast medium
Kevin Sinclair,West Indies,Bowler, 2021 - 2022,23y 84d,Right hand Bat,Right arm Offbreak
Hayden Walsh,West Indies,Bowler, 2019 - 2022,30y 298d,Left hand Bat,Legbreak Googly
Gary Ballance,Zimbabwe,Middle order Batter, 2013 - 2023,33y 85d,Left hand Bat,Legbreak
Ryan Burl,Zimbabwe,Middle order Batter, 2017 - 2023,28y 306d,Left hand Bat,Legbreak
Regis Chakabva,Zimbabwe,Wicketkeeper Batter, 2008 - 2022,35y 148d,Right hand Bat,Right arm Offbreak
Tendai Chatara,Zimbabwe,Bowler, 2010 - 2023,31y 352d,Right hand Bat,Right arm Fast medium
Chamu Chibhabha,Zimbabwe,Top order Batter, 2005 - 2023,36y 162d,Right hand Bat,Right arm Medium
Tanaka Chivanga,Zimbabwe,Bowler, 2022 - 2023,29y 206d,Right hand Bat,Right arm Fast
Craig Ervine,Zimbabwe,Middle order Batter, 2010 - 2023,37y 180d,Left hand Bat,Right arm Offbreak
Brad Evans,Zimbabwe,Allrounder, 2022 - 2023,25y 328d,Right hand Bat,Right arm Fast
Luke Jongwe,Zimbabwe,Bowler, 2014 - 2023,28y 9d,Right hand Bat,Right arm Fast medium
Innocent Kaia,Zimbabwe,Opening Batter, 2021 - 2023,30y 189d,Right hand Bat,Legbreak
Takudzwanashe Kaitano,Zimbabwe,Opening Batter, 2021 - 2022,29y 245d,Right hand Bat,Right arm Offbreak
Clive Madande,Zimbabwe,Wicketkeeper Batter, 2022 - 2023,22y 309d,Right hand Bat,
Wessly Madhevere,Zimbabwe,Allrounder, 2020 - 2023,22y 164d,Right hand Bat,Right arm Offbreak
Tadiwanashe Marumani,Zimbabwe,Top order Batter, 2021 - 2023,21y 44d,Left hand Bat,Right arm Offbreak
Wellington Masakadza,Zimbabwe,Bowler, 2015 - 2023,29y 134d,Left hand Bat,Slow Left arm Orthodox
