Name,Team,Role,International Span,Age,Batting Style,Bowling Style
Ashen Bandara,Sri Lanka,Middle order Batter, 2021 - 2023,24y 86d,Right hand Bat,Legbreak
Dushmantha Chameera,Sri Lanka,Bowler, 2015 - 2022,31y 37d,Right hand Bat,Right arm Fast
Dinesh Chandimal,Sri Lanka,Wicketkeeper Batter, 2010 - 2022,33y 91d,Right hand Bat,Right arm Offbreak
Dhananjaya de Silva,Sri Lanka,Allrounder, 2015 - 2023,31y 164d,Right hand Bat,Right arm Offbreak
Wanindu Hasaranga de Silva,Sri Lanka,Allrounder, 2017 - 2023,25y 203d,Right hand Bat,Legbreak
Niroshan Dickwella,Sri Lanka,Wicketkeeper Batter, 2014 - 2022,29y 239d,Left hand Bat,
Asitha Fernando,Sri Lanka,Bowler, 2017 - 2022,25y 201d,Right hand Bat,Right arm Medium fast
Nuwanidu Fernando,Sri Lanka,Batter, 2023 - 2023,23y 127d,Right hand Bat,Right arm Offbreak
Avishka Fernando,Sri Lanka,Opening Batter, 2016 - 2023,24y 318d,Right hand Bat,Right arm Medium fast
Danushka Gunathilaka,Sri Lanka,Allrounder, 2015 - 2022,31y 337d,Left hand Bat,Right arm Offbreak
Chamika Karunaratne,Sri Lanka,Bowling Allrounder, 2019 - 2023,26y 264d,Right hand Bat,Right arm Medium fast
Lahiru Kumara,Sri Lanka,Bowler, 2016 - 2023,26y 4d,Left hand Bat,Right arm Fast
Dhananjaya Lakshan,Sri Lanka,Batting Allrounder, 2021 - 2022,24y 135d,Left hand Bat,Right arm Medium fast
Dilshan Madushanka,Sri Lanka,Bowler, 2022 - 2023,22y 152d,Right hand Bat,Left arm Medium fast
Kusal Mendis,Sri Lanka,Wicketkeeper Batter, 2015 - 2023,28y 15d,Right hand Bat,Legbreak
Pathum Nissanka,Sri Lanka,Top order Batter, 2021 - 2023,24y 275d,Right hand Bat,
Pramod Madushan,Sri Lanka,Bowler, 2022 - 2022,29y 65d,Right hand Bat,Right arm Medium fast
Kasun Rajitha,Sri Lanka,Bowler, 2016 - 2023,29y 261d,Right hand Bat,Right arm Medium fast
Dasun Shanaka,Sri Lanka,Allrounder, 2015 - 2023,31y 161d,Right hand Bat,Right arm Medium
Maheesh Theekshana,Sri Lanka,Bowler, 2021 - 2023,22y 200d,Right hand Bat,Right arm Offbreak
Jeffrey Vandersay,Sri Lanka,Bowler, 2015 - 2023,33y 12d,Right hand Bat,Legbreak
Dunith Wellalage,Sri Lanka,Bowler, 2022 - 2023,20y 39d,Left hand Bat,Slow Left arm Orthodox
Jermaine Blackwood,West Indies,Middle order Batter, 2014 - 2023,31y 89d,Right hand Bat,Right arm Offbreak
Nkrumah Bonner,West Indies,Middle order Batter, 2011 - 2022,34y 25d,Right hand Bat,Legbreak
Shamarh Brooks,West Indies,Top order Batter, 2019 - 2022,34y 139d,Right hand Bat,Legbreak
Yannic Cariah,West Indies,Bowler, 2022 - 2022,30y 240d,Left hand Bat,Legbreak
Keacy Carty,West Indies,Batter, 2022 - 2022,25y 335d,Right hand Bat,Right arm Medium
Jason Holder,West Indies,Bowling Allrounder, 2013 - 2023,31y 104d,Right hand Bat,Right arm Medium fast
Shai Hope,West Indies,Wicketkeeper Batter, 2015 - 2022,29y 99d,Right hand Bat,
Akeal Hosein,West Indies,Bowler, 2021 - 2022,29y 298d,Left hand Bat,Slow Left arm Orthodox
Alzarri Joseph,West Indies,Bowler, 2016 - 2023,26y 89d,Right hand Bat,Right arm Fast
Brandon King,West Indies,Top order Batter, 2019 - 2022,28y 63d,Right hand Bat,
Shermon Lewis,West Indies,Bowler, 2018 - 2022,27y 119d,Right hand Bat,Right arm Fast
