Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
Kenya vs West Indies,Kenya,West Indies,Kenya,73 runs,Pune,"Feb 29, 1996",ODI # 1066
Pakistan vs South Africa,Pakistan,South Africa,South Africa,5 wickets,Karachi,"Feb 29, 1996",ODI # 1067
Australia vs Zimbabwe,Australia,Zimbabwe,Australia,8 wickets,Nagpur,"Mar 1, 1996",ODI # 1068
Netherlands vs U.A.E.,Netherlands,U.A.E.,U.A.E.,7 wickets,Lahore,"Mar 1, 1996",ODI # 1069
India vs Sri Lanka,India,Sri Lanka,Sri Lanka,6 wickets,Delhi,"Mar 2, 1996",ODI # 1070
Pakistan vs England,Pakistan,England,Pakistan,7 wickets,Karachi,"Mar 3, 1996",ODI # 1071
Australia vs West Indies,Australia,West Indies,West Indies,4 wickets,Jaipur,"Mar 4, 1996",ODI # 1072
Netherlands vs South Africa,Netherlands,South Africa,South Africa,160 runs,Rawalpindi,"Mar 5, 1996",ODI # 1073
India vs Zimbabwe,India,Zimbabwe,India,40 runs,Kanpur,"Mar 6, 1996",ODI # 1075
Sri Lanka vs Kenya,Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy,"Mar 6, 1996",ODI # 1074
Pakistan vs New Zealand,Pakistan,New Zealand,Pakistan,46 runs,Lahore,"Mar 6, 1996",ODI # 1076
England vs Sri Lanka,England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad,"Mar 9, 1996",ODI # 1077
India vs Pakistan,India,Pakistan,India,39 runs,Bengaluru,"Mar 9, 1996",ODI # 1078
South Africa vs West Indies,South Africa,West Indies,West Indies,19 runs,Karachi,"Mar 11, 1996",ODI # 1079
Australia vs New Zealand,Australia,New Zealand,Australia,6 wickets,Chennai,"Mar 11, 1996",ODI # 1080
India vs Sri Lanka,India,Sri Lanka,Sri Lanka,,Eden Gardens,"Mar 13, 1996",ODI # 1081
Australia vs West Indies,Australia,West Indies,Australia,5 runs,Mohali,"Mar 14, 1996",ODI # 1082
Australia vs Sri Lanka,Australia,Sri Lanka,Sri Lanka,7 wickets,Lahore,"Mar 17, 1996",ODI # 1083
England vs Sri Lanka,England,Sri Lanka,England,8 wickets,Lord's,"May 14, 1999",ODI # 1443
India vs South Africa,India,South Africa,South Africa,4 wickets,Hove,"May 15, 1999",ODI # 1444
Kenya vs Zimbabwe,Kenya,Zimbabwe,Zimbabwe,5 wickets,Taunton,"May 15, 1999",ODI # 1445
Australia vs Scotland,Australia,Scotland,Australia,6 wickets,Worcester,"May 16, 1999",ODI # 1446
Pakistan vs West Indies,Pakistan,West Indies,Pakistan,27 runs,Bristol,"May 16, 1999",ODI # 1447
Bangladesh vs New Zealand,Bangladesh,New Zealand,New Zealand,6 wickets,Chelmsford,"May 17, 1999",ODI # 1448
England vs Kenya,England,Kenya,England,9 wickets,Canterbury,"May 18, 1999",ODI # 1449
India vs Zimbabwe,India,Zimbabwe,Zimbabwe,3 runs,Leicester,"May 19, 1999",ODI # 1450
South Africa vs Sri Lanka,South Africa,Sri Lanka,South Africa,89 runs,Northampton,"May 19, 1999",ODI # 1451
Australia vs New Zealand,Australia,New Zealand,New Zealand,5 wickets,Cardiff,"May 20, 1999",ODI # 1452
Pakistan vs Scotland,Pakistan,Scotland,Pakistan,94 runs,Chester-le-Street,"May 20, 1999",ODI # 1453
Bangladesh vs West Indies,Bangladesh,West Indies,West Indies,7 wickets,Dublin,"May 21, 1999",ODI # 1454
England vs South Africa,England,South Africa,South Africa,122 runs,The Oval,"May 22, 1999",ODI # 1455
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Worcester,"May 22, 1999",ODI # 1456
India vs Kenya,India,Kenya,India,94 runs,Bristol,"May 23, 1999",ODI # 1457
Australia vs Pakistan,Australia,Pakistan,Pakistan,10 runs,Leeds,"May 23, 1999",ODI # 1458
Scotland vs Bangladesh,Scotland,Bangladesh,Bangladesh,22 runs,Edinburgh,"May 24, 1999",ODI # 1459
New Zealand vs West Indies,New Zealand,West Indies,West Indies,7 wickets,Southampton,"May 24, 1999",ODI # 1460
England vs Zimbabwe,England,Zimbabwe,England,7 wickets,Nottingham,"May 25, 1999",ODI # 1461
Kenya vs South Africa,Kenya,South Africa,South Africa,7 wickets,Amstelveen,"May 26, 1999",ODI # 1462
India vs Sri Lanka,India,Sri Lanka,India,157 runs,Taunton,"May 26, 1999",ODI # 1463
Australia vs Bangladesh,Australia,Bangladesh,Australia,7 wickets,Chester-le-Street,"May 27, 1999",ODI # 1464
Scotland vs West Indies,Scotland,West Indies,West Indies,8 wickets,Leicester,"May 27, 1999",ODI # 1465
New Zealand vs Pakistan,New Zealand,Pakistan,Pakistan,62 runs,Derby,"May 28, 1999",ODI # 1466
England vs India,England,India,India,63 runs,Birmingham,"May 29-30, 1999",ODI # 1467
South Africa vs Zimbabwe,South Africa,Zimbabwe,Zimbabwe,48 runs,Chelmsford,"May 29, 1999",ODI # 1468
Kenya vs Sri Lanka,Kenya,Sri Lanka,Sri Lanka,45 runs,Southampton,"May 30, 1999",ODI # 1469
Australia vs West Indies,Australia,West Indies,Australia,6 wickets,Manchester,"May 30, 1999",ODI # 1470
Bangladesh vs Pakistan,Bangladesh,Pakistan,Bangladesh,62 runs,Northampton,"May 31, 1999",ODI # 1471
Scotland vs New Zealand,Scotland,New Zealand,New Zealand,6 wickets,Edinburgh,"May 31, 1999",ODI # 1472
Australia vs India,Australia,India,Australia,77 runs,The Oval,"Jun 4, 1999",ODI # 1473
Pakistan vs South Africa,Pakistan,South Africa,South Africa,3 wickets,Nottingham,"Jun 5, 1999",ODI # 1474
New Zealand vs Zimbabwe,New Zealand,Zimbabwe,no result,,Leeds,"Jun 6-7, 1999",ODI # 1475
India vs Pakistan,India,Pakistan,India,47 runs,Manchester,"Jun 8, 1999",ODI # 1476
Australia vs Zimbabwe,Australia,Zimbabwe,Australia,44 runs,Lord's,"Jun 9, 1999",ODI # 1477
New Zealand vs South Africa,New Zealand,South Africa,South Africa,74 runs,Birmingham,"Jun 10, 1999",ODI # 1478
Pakistan vs Zimbabwe,Pakistan,Zimbabwe,Pakistan,148 runs,The Oval,"Jun 11, 1999",ODI # 1479
India vs New Zealand,India,New Zealand,New Zealand,5 wickets,Nottingham,"Jun 12, 1999",ODI # 1480
Australia vs South Africa,Australia,South Africa,Australia,5 wickets,Leeds,"Jun 13, 1999",ODI # 1481
New Zealand vs Pakistan,New Zealand,Pakistan,Pakistan,9 wickets,Manchester,"Jun 16, 1999",ODI # 1482
Australia vs South Africa,Australia,South Africa,tied,,Birmingham,"Jun 17, 1999",ODI # 1483
Australia vs Pakistan,Australia,Pakistan,Australia,8 wickets,Lord's,"Jun 20, 1999",ODI # 1484
South Africa vs West Indies,South Africa,West Indies,West Indies,3 runs,Cape Town,"Feb 9, 2003",ODI # 1942
Zimbabwe vs Namibia,Zimbabwe,Namibia,Zimbabwe,86 runs,Harare,"Feb 10, 2003",ODI # 1943
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,47 runs,Bloemfontein,"Feb 10, 2003",ODI # 1944
Australia vs Pakistan,Australia,Pakistan,Australia,82 runs,Johannesburg,"Feb 11, 2003",ODI # 1945
Bangladesh vs Canada,Bangladesh,Canada,Canada,60 runs,Durban,"Feb 11, 2003",ODI # 1946
South Africa vs Kenya,South Africa,Kenya,South Africa,10 wickets,Potchefstroom,"Feb 12, 2003",ODI # 1947
India vs Netherlands,India,Netherlands,India,68 runs,Paarl,"Feb 12, 2003",ODI # 1948
Zimbabwe vs England,Zimbabwe,England,Zimbabwe,,Harare,"Feb 13, 2003",ODI # 1948a
New Zealand vs West Indies,New Zealand,West Indies,New Zealand,20 runs,Gqeberha,"Feb 13, 2003",ODI # 1949
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,"Feb 14, 2003",ODI # 1950
Australia vs India,Australia,India,Australia,9 wickets,Centurion,"Feb 15, 2003",ODI # 1951
Canada vs Kenya,Canada,Kenya,Kenya,4 wickets,Cape Town,"Feb 15, 2003",ODI # 1952
England vs Netherlands,England,Netherlands,England,6 wickets,East London,"Feb 16, 2003",ODI # 1953
Namibia vs Pakistan,Namibia,Pakistan,Pakistan,171 runs,Kimberley,"Feb 16, 2003",ODI # 1954
South Africa vs New Zealand,South Africa,New Zealand,New Zealand,9 wickets,Johannesburg,"Feb 16, 2003",ODI # 1955
Bangladesh vs West Indies,Bangladesh,West Indies,no result,,Benoni,"Feb 18, 2003",ODI # 1956
Zimbabwe vs India,Zimbabwe,India,India,83 runs,Harare,"Feb 19, 2003",ODI # 1957
Canada vs Sri Lanka,Canada,Sri Lanka,Sri Lanka,9 wickets,Paarl,"Feb 19, 2003",ODI # 1958
England vs Namibia,England,Namibia,England,55 runs,Gqeberha,"Feb 19, 2003",ODI # 1959
Australia vs Netherlands,Australia,Netherlands,Australia,75 runs,Potchefstroom,"Feb 20, 2003",ODI # 1960
Kenya vs New Zealand,Kenya,New Zealand,Kenya,,Nairobi (Gym),"Feb 21, 2003",ODI # 1960a
South Africa vs Bangladesh,South Africa,Bangladesh,South Africa,10 wickets,Bloemfontein,"Feb 22, 2003",ODI # 1961
England vs Pakistan,England,Pakistan,England,112 runs,Cape Town,"Feb 22, 2003",ODI # 1962
Canada vs West Indies,Canada,West Indies,West Indies,7 wickets,Centurion,"Feb 23, 2003",ODI # 1963
India vs Namibia,India,Namibia,India,181 runs,Pietermaritzburg,"Feb 23, 2003",ODI # 1964
Kenya vs Sri Lanka,Kenya,Sri Lanka,Kenya,53 runs,Nairobi (Gym),"Feb 24, 2003",ODI # 1965
Zimbabwe vs Australia,Zimbabwe,Australia,Australia,7 wickets,Bulawayo,"Feb 24, 2003",ODI # 1966
Netherlands vs Pakistan,Netherlands,Pakistan,Pakistan,97 runs,Paarl,"Feb 25, 2003",ODI # 1967
Bangladesh vs New Zealand,Bangladesh,New Zealand,New Zealand,7 wickets,Kimberley,"Feb 26, 2003",ODI # 1968
England vs India,England,India,India,82 runs,Durban,"Feb 26, 2003",ODI # 1969
Australia vs Namibia,Australia,Namibia,Australia,256 runs,Potchefstroom,"Feb 27, 2003",ODI # 1970
South Africa vs Canada,South Africa,Canada,South Africa,118 runs,East London,"Feb 27, 2003",ODI # 1971
Zimbabwe vs Netherlands,Zimbabwe,Netherlands,Zimbabwe,99 runs,Bulawayo,"Feb 28, 2003",ODI # 1972
Sri Lanka vs West Indies,Sri Lanka,West Indies,Sri Lanka,6 runs,Cape Town,"Feb 28, 2003",ODI # 1973
Bangladesh vs Kenya,Bangladesh,Kenya,Kenya,32 runs,Johannesburg,"Mar 1, 2003",ODI # 1974
India vs Pakistan,India,Pakistan,India,6 wickets,Centurion,"Mar 1, 2003",ODI # 1975
Australia vs England,Australia,England,Australia,2 wickets,Gqeberha,"Mar 2, 2003",ODI # 1976
Canada vs New Zealand,Canada,New Zealand,New Zealand,5 wickets,Benoni,"Mar 3, 2003",ODI # 1977
Namibia vs Netherlands,Namibia,Netherlands,Netherlands,64 runs,Bloemfontein,"Mar 3, 2003",ODI # 1978
South Africa vs Sri Lanka,South Africa,Sri Lanka,tied,,Durban,"Mar 3, 2003",ODI # 1979
Zimbabwe vs Pakistan,Zimbabwe,Pakistan,no result,,Bulawayo,"Mar 4, 2003",ODI # 1980
Kenya vs West Indies,Kenya,West Indies,West Indies,142 runs,Kimberley,"Mar 4, 2003",ODI # 1981
Australia vs Sri Lanka,Australia,Sri Lanka,Australia,96 runs,Centurion,"Mar 7, 2003",ODI # 1982
India vs Kenya,India,Kenya,India,6 wickets,Cape Town,"Mar 7, 2003",ODI # 1983
New Zealand vs Zimbabwe,New Zealand,Zimbabwe,New Zealand,6 wickets,Bloemfontein,"Mar 8, 2003",ODI # 1984
India vs Sri Lanka,India,Sri Lanka,India,183 runs,Johannesburg,"Mar 10, 2003",ODI # 1985
Australia vs New Zealand,Australia,New Zealand,Australia,96 runs,Gqeberha,"Mar 11, 2003",ODI # 1986
